,Title,specification,Rating,Price,ImgUrl
0,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",3.7,"₹16,990₹34,99051% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/r/q/-original-imah3gaqg3zjgjny.jpeg?q=70
1,CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,"Intel Core i5 Processor (10th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",4.1,"₹25,990₹34,99025% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/r/z/-original-imah3gaqzzz2buxy.jpeg?q=70
2,Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Domestic Warranty,4,"₹41,990₹53,00020% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/1/w/a324-51-thin-and-light-laptop-acer-original-imah43bv4eqswhpz.jpeg?q=70
3,DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2,"₹33,949₹48,28229% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/v/u/-original-imagynwxbpas3sxh.jpeg?q=70
4,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 C...,Intel Celeron Dual Core Processor4 GB LPDDR4X RAMChrome Operating System35.56 cm (14 Inch) Display1 Year Onsite Warranty,3.7,"₹12,990₹32,99060% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/r/b/cx1400cka-ek0335-chromebook-asus-original-imah2f9ch5u9enbq.jpeg?q=70
5,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,Intel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.7,"₹18,990₹39,99052% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/s/w/-original-imahyusrsex3y8zz.jpeg?q=70
6,Primebook S Wifi MediaTek MT8183 - (4 GB/128 GB EMMC Storage/Prime OS) PB S Wifi Thin and Light Laptop,MediaTek MT8183 Processor4 GB LPDDR4 RAMAndroid Operating System29.46 cm (11.6 Inch) Display1 Year Pick and Drop Warranty,4.2,"₹10,990₹20,99047% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/c/5/-original-imagtrj27kprghgz.jpeg?q=70
7,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1-year warranty,4.3,"₹36,990₹54,99032% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/6/e/-original-imah4dgwhghr66kw.jpeg?q=70
8,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin an...,Intel Core i5 Processor (12th Gen)8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty,4.3,"₹46,490₹68,79032% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/x/0/-original-imahfbdnusadgyr5.jpeg?q=70
9,Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3,"₹30,490₹58,50047% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/u/s/thinkbook-15-g5-thin-and-light-laptop-lenovo-original-imah2wy2p3cxdbyj.jpeg?q=70
10,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop,"Intel Celeron Quad Core Processor (12th Gen)8 GB LPDDR5 RAM64 bit Windows 11 Home Operating System256 GB SSD39.62 cm (15.6 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty",4,"₹21,990₹44,99051% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/o/6/-original-imagwhg3farcxwxs.jpeg?q=70
11,CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...,"Display: 13.5"" Ultra HD 2K 3:2 touchscreen displayProcessor: Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD StorageGraphics: Intel integrated UHD Graphics GPU2 in 1 Tablet Notebook360-degree foldable screenBluetooth: 5.23 Type-C interfaces :- PD Fast charging, USB 3.0 data transmission, USB 2.0 data Transmission1MP HD CamCompact and PortableIntel Core i3 Processor (12th Gen)12 GB LPDDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD34.29 cm (13.5 inch) Touchscreen DisplayOperating System Software1 Year Onsite Warranty",4,"₹37,990₹49,99024% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/m/q/freebook-2-in-1-laptop-chuwi-original-imagtywsu2c6ngn2.jpeg?q=70
12,Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty,3.9,"₹20,990₹32,99936% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/9/v/-original-imah5g8mw96faynm.jpeg?q=70
13,SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,Intel Core i3 Processor (13th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.5,"₹40,990₹57,49928% off",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70
